Nombre Categoría Serie;Nombre Categoría Subserie;Nombre del Activo;Idioma;Medio de Conservación y/o Soporte;Fecha de Generación Información;Nombre de Responsable Activo Generación;Nombre de Responsable Activo Información;Clasificación;Objetivo legítimo de la excepción;Fundamento constitucional o legal;Fundamento Jurídico de la Excepción;Excepción total o parcial;Fecha de la Calificación;Plazo de Clasificación o Reserva
Plusvalía;No Aplica;Plusvalía;Español;Físico - Papel;2/9/2015;Oficina de Liquidación de Impuesto a la Propiedad Responsable del proceso.;Oficina de Liquidación  Cobro y Propiedad;Pública Reservada;"Activo de Información que por su contenido o por su naturaleza íntima o reservada sólo es relevante para el titular, sólo interesa a quienes va dirigida y cuya divulgación no autorizada puede ocasionar perjuicios a determinada entidad, agrupación o persona. Información cuyo acceso podrá ser rechazado o denegado de manera motivada y por escrito en las siguientes circunstancias, siempre que dicho acceso estuviere expresamente prohibido por una norma legal o constitucional:
a) La defensa y seguridad nacional
b) La seguridad pública
c) Las relaciones internacionales
d) La prevención, investigación y persecución de los delitos y las faltas disciplinarias, mientras que no se haga efectiva la medida de aseguramiento o se formule pliego de cargos, según el caso
e) El debido proceso y la igualdad de las partes en los procesos judiciales
f) La administración efectiva de la justicia
g) Los derechos de la infancia y la adolescencia
h) La estabilidad macroeconómica y financiera del país
i) La salud pública
No obstante, entiéndase también que datos reservados, son aquellos que afectan la intimidad del Titular o cuyo uso indebido puede generar su discriminación. Del mismo modo, en cumplimiento de la Ley 1581 de 2012 al amparo del principio de confidencialidad se establece que: los datos personales que no tengan la naturaleza de públicos se les debe garantizar la reserva de la información, inclusive después de finalizada la relación con alguna de las labores que comprende el tratamiento de información, pudiendo sólo realizar suministro o comunicación de datos personales cuando ello corresponda al desarrollo de las actividades autorizadas por la Ley y en los términos de la misma.";Estatuto Tributario Nacional;Art. 693. Reserva de los expedientes. Las informaciones tributarias respecto de la determinación oficial del impuesto tendrán el carácter de reservadas en los términos señalados en el artículo 583;Parcial- Aplica a la Información Tributaria;2/9/2015;2/9/2025
Informes;Informes a Otras Entidades;Informes a Otras Entidades;Español;Físico - Papel;2/9/2015;"Oficina de liquidación de impuestos a la Producción y Consumo.
Responsable del Proceso";Oficina de Liquidación Producción y Consumo ;Pública Reservada;"Activo de Información que por su contenido o por su naturaleza íntima o reservada sólo es relevante para el titular, sólo interesa a quienes va dirigida y cuya divulgación no autorizada puede ocasionar perjuicios a determinada entidad, agrupación o persona. Información cuyo acceso podrá ser rechazado o denegado de manera motivada y por escrito en las siguientes circunstancias, siempre que dicho acceso estuviere expresamente prohibido por una norma legal o constitucional:
a) La defensa y seguridad nacional
b) La seguridad pública
c) Las relaciones internacionales
d) La prevención, investigación y persecución de los delitos y las faltas disciplinarias, mientras que no se haga efectiva la medida de aseguramiento o se formule pliego de cargos, según el caso
e) El debido proceso y la igualdad de las partes en los procesos judiciales
f) La administración efectiva de la justicia
g) Los derechos de la infancia y la adolescencia
h) La estabilidad macroeconómica y financiera del país
i) La salud pública
No obstante, entiéndase también que datos reservados, son aquellos que afectan la intimidad del Titular o cuyo uso indebido puede generar su discriminación. Del mismo modo, en cumplimiento de la Ley 1581 de 2012 al amparo del principio de confidencialidad se establece que: los datos personales que no tengan la naturaleza de públicos se les debe garantizar la reserva de la información, inclusive después de finalizada la relación con alguna de las labores que comprende el tratamiento de información, pudiendo sólo realizar suministro o comunicación de datos personales cuando ello corresponda al desarrollo de las actividades autorizadas por la Ley y en los términos de la misma.";Estatuto Tributario Nacional;Art. 693. Reserva de los expedientes. Las informaciones tributarias respecto de la determinación oficial del impuesto tendrán el carácter de reservadas en los términos señalados en el artículo 583;Parcial- Aplica a la Información Tributaria;2/9/2015;2/9/2025
Procesos de gestión tributaria;No Aplica;Procesos de Gestión Tributaria;Español;Físico - Papel;2/9/2015;"Oficina de liquidación de impuestos a la Producción y Consumo.
Responsable del Proceso";Oficina de Liquidación Producción y Consumo ;Pública Reservada;"Activo de Información que por su contenido o por su naturaleza íntima o reservada sólo es relevante para el titular, sólo interesa a quienes va dirigida y cuya divulgación no autorizada puede ocasionar perjuicios a determinada entidad, agrupación o persona. Información cuyo acceso podrá ser rechazado o denegado de manera motivada y por escrito en las siguientes circunstancias, siempre que dicho acceso estuviere expresamente prohibido por una norma legal o constitucional:
a) La defensa y seguridad nacional
b) La seguridad pública
c) Las relaciones internacionales
d) La prevención, investigación y persecución de los delitos y las faltas disciplinarias, mientras que no se haga efectiva la medida de aseguramiento o se formule pliego de cargos, según el caso
e) El debido proceso y la igualdad de las partes en los procesos judiciales
f) La administración efectiva de la justicia
g) Los derechos de la infancia y la adolescencia
h) La estabilidad macroeconómica y financiera del país
i) La salud pública
No obstante, entiéndase también que datos reservados, son aquellos que afectan la intimidad del Titular o cuyo uso indebido puede generar su discriminación. Del mismo modo, en cumplimiento de la Ley 1581 de 2012 al amparo del principio de confidencialidad se establece que: los datos personales que no tengan la naturaleza de públicos se les debe garantizar la reserva de la información, inclusive después de finalizada la relación con alguna de las labores que comprende el tratamiento de información, pudiendo sólo realizar suministro o comunicación de datos personales cuando ello corresponda al desarrollo de las actividades autorizadas por la Ley y en los términos de la misma.";Estatuto Tributario Nacional;Art. 693. Reserva de los expedientes. Las informaciones tributarias respecto de la determinación oficial del impuesto tendrán el carácter de reservadas en los términos señalados en el artículo 583;Parcial- Aplica a la Información Tributaria;2/9/2015;2/9/2025
Actas;Actas de archivo trámites tributarios;Actas de Archivo Trámites Tributarios;Español;Físico - Papel;2/9/2015;Oficina de Fiscalización de Impuesto a la Propiedad Responsable del proceso;Oficina de Fiscalización Cobro y Propiedad;Pública Reservada;"Activo de Información que por su contenido o por su naturaleza íntima o reservada sólo es relevante para el titular, sólo interesa a quienes va dirigida y cuya divulgación no autorizada puede ocasionar perjuicios a determinada entidad, agrupación o persona. Información cuyo acceso podrá ser rechazado o denegado de manera motivada y por escrito en las siguientes circunstancias, siempre que dicho acceso estuviere expresamente prohibido por una norma legal o constitucional:
a) La defensa y seguridad nacional
b) La seguridad pública
c) Las relaciones internacionales
d) La prevención, investigación y persecución de los delitos y las faltas disciplinarias, mientras que no se haga efectiva la medida de aseguramiento o se formule pliego de cargos, según el caso
e) El debido proceso y la igualdad de las partes en los procesos judiciales
f) La administración efectiva de la justicia
g) Los derechos de la infancia y la adolescencia
h) La estabilidad macroeconómica y financiera del país
i) La salud pública
No obstante, entiéndase también que datos reservados, son aquellos que afectan la intimidad del Titular o cuyo uso indebido puede generar su discriminación. Del mismo modo, en cumplimiento de la Ley 1581 de 2012 al amparo del principio de confidencialidad se establece que: los datos personales que no tengan la naturaleza de públicos se les debe garantizar la reserva de la información, inclusive después de finalizada la relación con alguna de las labores que comprende el tratamiento de información, pudiendo sólo realizar suministro o comunicación de datos personales cuando ello corresponda al desarrollo de las actividades autorizadas por la Ley y en los términos de la misma.";Estatuto Tributario Nacional;Art. 693. Reserva de los expedientes. Las informaciones tributarias respecto de la determinación oficial del impuesto tendrán el carácter de reservadas en los términos señalados en el artículo 583;Parcial- Aplica a la Información Tributaria;2/9/2015;2/9/2025
Informes;Informes  a Organismos de Control ;Informes a Organismos de Control;Español;Físico - Papel;2/9/2015;Oficina de Fiscalización de Impuesto a la Propiedad Responsable del proceso;Oficina de Fiscalización Cobro y Propiedad;Pública Reservada;"Activo de Información que por su contenido o por su naturaleza íntima o reservada sólo es relevante para el titular, sólo interesa a quienes va dirigida y cuya divulgación no autorizada puede ocasionar perjuicios a determinada entidad, agrupación o persona. Información cuyo acceso podrá ser rechazado o denegado de manera motivada y por escrito en las siguientes circunstancias, siempre que dicho acceso estuviere expresamente prohibido por una norma legal o constitucional:
a) La defensa y seguridad nacional
b) La seguridad pública
c) Las relaciones internacionales
d) La prevención, investigación y persecución de los delitos y las faltas disciplinarias, mientras que no se haga efectiva la medida de aseguramiento o se formule pliego de cargos, según el caso
e) El debido proceso y la igualdad de las partes en los procesos judiciales
f) La administración efectiva de la justicia
g) Los derechos de la infancia y la adolescencia
h) La estabilidad macroeconómica y financiera del país
i) La salud pública
No obstante, entiéndase también que datos reservados, son aquellos que afectan la intimidad del Titular o cuyo uso indebido puede generar su discriminación. Del mismo modo, en cumplimiento de la Ley 1581 de 2012 al amparo del principio de confidencialidad se establece que: los datos personales que no tengan la naturaleza de públicos se les debe garantizar la reserva de la información, inclusive después de finalizada la relación con alguna de las labores que comprende el tratamiento de información, pudiendo sólo realizar suministro o comunicación de datos personales cuando ello corresponda al desarrollo de las actividades autorizadas por la Ley y en los términos de la misma.";Estatuto Tributario Nacional;Art. 693. Reserva de los expedientes. Las informaciones tributarias respecto de la determinación oficial del impuesto tendrán el carácter de reservadas en los términos señalados en el artículo 583;Parcial- Aplica a la Información Tributaria;2/9/2015;2/9/2025
Informes;Informes a Otras Entidades;Informes a Otras Entidades;Español;Físico - Papel;2/9/2015;Oficina de Fiscalización de Impuesto a la Propiedad Responsable del proceso;Oficina de Fiscalización Cobro y Propiedad;Pública Reservada;"Activo de Información que por su contenido o por su naturaleza íntima o reservada sólo es relevante para el titular, sólo interesa a quienes va dirigida y cuya divulgación no autorizada puede ocasionar perjuicios a determinada entidad, agrupación o persona. Información cuyo acceso podrá ser rechazado o denegado de manera motivada y por escrito en las siguientes circunstancias, siempre que dicho acceso estuviere expresamente prohibido por una norma legal o constitucional:
a) La defensa y seguridad nacional
b) La seguridad pública
c) Las relaciones internacionales
d) La prevención, investigación y persecución de los delitos y las faltas disciplinarias, mientras que no se haga efectiva la medida de aseguramiento o se formule pliego de cargos, según el caso
e) El debido proceso y la igualdad de las partes en los procesos judiciales
f) La administración efectiva de la justicia
g) Los derechos de la infancia y la adolescencia
h) La estabilidad macroeconómica y financiera del país
i) La salud pública
No obstante, entiéndase también que datos reservados, son aquellos que afectan la intimidad del Titular o cuyo uso indebido puede generar su discriminación. Del mismo modo, en cumplimiento de la Ley 1581 de 2012 al amparo del principio de confidencialidad se establece que: los datos personales que no tengan la naturaleza de públicos se les debe garantizar la reserva de la información, inclusive después de finalizada la relación con alguna de las labores que comprende el tratamiento de información, pudiendo sólo realizar suministro o comunicación de datos personales cuando ello corresponda al desarrollo de las actividades autorizadas por la Ley y en los términos de la misma.";Estatuto Tributario Nacional;Art. 693. Reserva de los expedientes. Las informaciones tributarias respecto de la determinación oficial del impuesto tendrán el carácter de reservadas en los términos señalados en el artículo 583;Parcial- Aplica a la Información Tributaria;2/9/2015;2/9/2025
Peticiones, quejas, reclamos y soluciones - PQRS;No Aplica;Peticiones, Quejas, Reclamos y Soluciones - PQRS;Español;Físico - Papel;2/9/2015;Oficina de Fiscalización de Impuesto a la Propiedad Responsable del proceso;Oficina de Fiscalización Cobro y Propiedad;Pública Reservada;"Activo de Información que por su contenido o por su naturaleza íntima o reservada sólo es relevante para el titular, sólo interesa a quienes va dirigida y cuya divulgación no autorizada puede ocasionar perjuicios a determinada entidad, agrupación o persona. Información cuyo acceso podrá ser rechazado o denegado de manera motivada y por escrito en las siguientes circunstancias, siempre que dicho acceso estuviere expresamente prohibido por una norma legal o constitucional:
a) La defensa y seguridad nacional
b) La seguridad pública
c) Las relaciones internacionales
d) La prevención, investigación y persecución de los delitos y las faltas disciplinarias, mientras que no se haga efectiva la medida de aseguramiento o se formule pliego de cargos, según el caso
e) El debido proceso y la igualdad de las partes en los procesos judiciales
f) La administración efectiva de la justicia
g) Los derechos de la infancia y la adolescencia
h) La estabilidad macroeconómica y financiera del país
i) La salud pública
No obstante, entiéndase también que datos reservados, son aquellos que afectan la intimidad del Titular o cuyo uso indebido puede generar su discriminación. Del mismo modo, en cumplimiento de la Ley 1581 de 2012 al amparo del principio de confidencialidad se establece que: los datos personales que no tengan la naturaleza de públicos se les debe garantizar la reserva de la información, inclusive después de finalizada la relación con alguna de las labores que comprende el tratamiento de información, pudiendo sólo realizar suministro o comunicación de datos personales cuando ello corresponda al desarrollo de las actividades autorizadas por la Ley y en los términos de la misma.";Estatuto Tributario Nacional;Art. 693. Reserva de los expedientes. Las informaciones tributarias respecto de la determinación oficial del impuesto tendrán el carácter de reservadas en los términos señalados en el artículo 583;Parcial- Aplica a la Información Tributaria;2/9/2015;2/9/2025
Procesos de Gestión Tributaria;No Aplica;Procesos de Gestión Tributaria;Español;Físico - Papel;2/9/2015;Oficina de Fiscalización de Impuesto a la Propiedad Responsable del proceso;Oficina de Fiscalización Cobro y Propiedad;Pública Reservada;"Activo de Información que por su contenido o por su naturaleza íntima o reservada sólo es relevante para el titular, sólo interesa a quienes va dirigida y cuya divulgación no autorizada puede ocasionar perjuicios a determinada entidad, agrupación o persona. Información cuyo acceso podrá ser rechazado o denegado de manera motivada y por escrito en las siguientes circunstancias, siempre que dicho acceso estuviere expresamente prohibido por una norma legal o constitucional:
a) La defensa y seguridad nacional
b) La seguridad pública
c) Las relaciones internacionales
d) La prevención, investigación y persecución de los delitos y las faltas disciplinarias, mientras que no se haga efectiva la medida de aseguramiento o se formule pliego de cargos, según el caso
e) El debido proceso y la igualdad de las partes en los procesos judiciales
f) La administración efectiva de la justicia
g) Los derechos de la infancia y la adolescencia
h) La estabilidad macroeconómica y financiera del país
i) La salud pública
No obstante, entiéndase también que datos reservados, son aquellos que afectan la intimidad del Titular o cuyo uso indebido puede generar su discriminación. Del mismo modo, en cumplimiento de la Ley 1581 de 2012 al amparo del principio de confidencialidad se establece que: los datos personales que no tengan la naturaleza de públicos se les debe garantizar la reserva de la información, inclusive después de finalizada la relación con alguna de las labores que comprende el tratamiento de información, pudiendo sólo realizar suministro o comunicación de datos personales cuando ello corresponda al desarrollo de las actividades autorizadas por la Ley y en los términos de la misma.";Estatuto Tributario Nacional;Art. 693. Reserva de los expedientes. Las informaciones tributarias respecto de la determinación oficial del impuesto tendrán el carácter de reservadas en los términos señalados en el artículo 583;Parcial- Aplica a la Información Tributaria;2/9/2015;2/9/2025
Invalidaciones;No Aplica;Invalidaciones;Español;Físico - Papel;2/9/2015;Oficina de Fiscalización de Impuesto a la Propiedad Responsable del proceso;Oficina de fiscalización impuestos a la propiedad;Pública Reservada;"Activo de Información que por su contenido o por su naturaleza íntima o reservada sólo es relevante para el titular, sólo interesa a quienes va dirigida y cuya divulgación no autorizada puede ocasionar perjuicios a determinada entidad, agrupación o persona. Información cuyo acceso podrá ser rechazado o denegado de manera motivada y por escrito en las siguientes circunstancias, siempre que dicho acceso estuviere expresamente prohibido por una norma legal o constitucional:
a) La defensa y seguridad nacional
b) La seguridad pública
c) Las relaciones internacionales
d) La prevención, investigación y persecución de los delitos y las faltas disciplinarias, mientras que no se haga efectiva la medida de aseguramiento o se formule pliego de cargos, según el caso
e) El debido proceso y la igualdad de las partes en los procesos judiciales
f) La administración efectiva de la justicia
g) Los derechos de la infancia y la adolescencia
h) La estabilidad macroeconómica y financiera del país
i) La salud pública
No obstante, entiéndase también que datos reservados, son aquellos que afectan la intimidad del Titular o cuyo uso indebido puede generar su discriminación. Del mismo modo, en cumplimiento de la Ley 1581 de 2012 al amparo del principio de confidencialidad se establece que: los datos personales que no tengan la naturaleza de públicos se les debe garantizar la reserva de la información, inclusive después de finalizada la relación con alguna de las labores que comprende el tratamiento de información, pudiendo sólo realizar suministro o comunicación de datos personales cuando ello corresponda al desarrollo de las actividades autorizadas por la Ley y en los términos de la misma.";Estatuto Tributario Distrital;Art. 18. Reserva de las Declaraciones . De conformidad con lo previsto en los artículos 583, 584, 585, 586, 693, 693-1 y 849-4 del Estatuto Tributario Nacional, la información tributaria distrital estará amparada por la más estricta reserva. EUTO TRIBUTARIO NACIONAL;Parcial- Aplica a la Información Tributaria;2/9/2015;2/9/2025
Plusvalía;No Aplica;Plusvalía;Español;Físico - Papel;2/9/2015;Oficina de Fiscalización de Impuesto a la Propiedad Responsable del proceso;Oficina de Fiscalización Cobro y Propiedad;Pública Reservada;"Activo de Información que por su contenido o por su naturaleza íntima o reservada sólo es relevante para el titular, sólo interesa a quienes va dirigida y cuya divulgación no autorizada puede ocasionar perjuicios a determinada entidad, agrupación o persona. Información cuyo acceso podrá ser rechazado o denegado de manera motivada y por escrito en las siguientes circunstancias, siempre que dicho acceso estuviere expresamente prohibido por una norma legal o constitucional:
a) La defensa y seguridad nacional
b) La seguridad pública
c) Las relaciones internacionales
d) La prevención, investigación y persecución de los delitos y las faltas disciplinarias, mientras que no se haga efectiva la medida de aseguramiento o se formule pliego de cargos, según el caso
e) El debido proceso y la igualdad de las partes en los procesos judiciales
f) La administración efectiva de la justicia
g) Los derechos de la infancia y la adolescencia
h) La estabilidad macroeconómica y financiera del país
i) La salud pública
No obstante, entiéndase también que datos reservados, son aquellos que afectan la intimidad del Titular o cuyo uso indebido puede generar su discriminación. Del mismo modo, en cumplimiento de la Ley 1581 de 2012 al amparo del principio de confidencialidad se establece que: los datos personales que no tengan la naturaleza de públicos se les debe garantizar la reserva de la información, inclusive después de finalizada la relación con alguna de las labores que comprende el tratamiento de información, pudiendo sólo realizar suministro o comunicación de datos personales cuando ello corresponda al desarrollo de las actividades autorizadas por la Ley y en los términos de la misma.";Estatuto Tributario Nacional;Art. 693. Reserva de los expedientes. Las informaciones tributarias respecto de la determinación oficial del impuesto tendrán el carácter de reservadas en los términos señalados en el artículo 583;Parcial- Aplica a la Información Tributaria;2/9/2015;2/9/2025
Análisis y Actualización Cuentas Corrientes Contribuyentes;Ajuste y actualización de Cuentas;Ajuste y Actualización de Cuenta;Español;Físico - Papel;2/9/2015;"Oficina de Cuentas Corrientes Contribuyentes

Responsable del proceso";Oficina de Cuentas Corrientes;Pública Reservada;"Activo de Información que por su contenido o por su naturaleza íntima o reservada sólo es relevante para el titular, sólo interesa a quienes va dirigida y cuya divulgación no autorizada puede ocasionar perjuicios a determinada entidad, agrupación o persona. Información cuyo acceso podrá ser rechazado o denegado de manera motivada y por escrito en las siguientes circunstancias, siempre que dicho acceso estuviere expresamente prohibido por una norma legal o constitucional:
a) La defensa y seguridad nacional
b) La seguridad pública
c) Las relaciones internacionales
d) La prevención, investigación y persecución de los delitos y las faltas disciplinarias, mientras que no se haga efectiva la medida de aseguramiento o se formule pliego de cargos, según el caso
e) El debido proceso y la igualdad de las partes en los procesos judiciales
f) La administración efectiva de la justicia
g) Los derechos de la infancia y la adolescencia
h) La estabilidad macroeconómica y financiera del país
i) La salud pública
No obstante, entiéndase también que datos reservados, son aquellos que afectan la intimidad del Titular o cuyo uso indebido puede generar su discriminación. Del mismo modo, en cumplimiento de la Ley 1581 de 2012 al amparo del principio de confidencialidad se establece que: los datos personales que no tengan la naturaleza de públicos se les debe garantizar la reserva de la información, inclusive después de finalizada la relación con alguna de las labores que comprende el tratamiento de información, pudiendo sólo realizar suministro o comunicación de datos personales cuando ello corresponda al desarrollo de las actividades autorizadas por la Ley y en los términos de la misma.";Estatuto Tributario Distrital;Art. 18. Reserva de las Declaraciones . De conformidad con lo previsto en los artículos 583, 584, 585, 586, 693, 693-1 y 849-4 del Estatuto Tributario Nacional, la información tributaria distrital estará amparada por la más estricta reserva. EUTO TRIBUTARIO NACIONAL;Parcial- Aplica a la Información Tributaria;2/9/2015;2/9/2025
Análisis y Actualización Cuentas Corrientes Contribuyentes;Boletín de Deudores Morosos del Estado;Boletín de Deudores Morosos del Estado;Español;Físico - Papel;2/9/2015;"Oficina de Cuentas Corrientes Contribuyentes

Responsable del proceso";Oficina de Cuentas Corrientes;Pública Reservada;"Activo de Información que por su contenido o por su naturaleza íntima o reservada sólo es relevante para el titular, sólo interesa a quienes va dirigida y cuya divulgación no autorizada puede ocasionar perjuicios a determinada entidad, agrupación o persona. Información cuyo acceso podrá ser rechazado o denegado de manera motivada y por escrito en las siguientes circunstancias, siempre que dicho acceso estuviere expresamente prohibido por una norma legal o constitucional:
a) La defensa y seguridad nacional
b) La seguridad pública
c) Las relaciones internacionales
d) La prevención, investigación y persecución de los delitos y las faltas disciplinarias, mientras que no se haga efectiva la medida de aseguramiento o se formule pliego de cargos, según el caso
e) El debido proceso y la igualdad de las partes en los procesos judiciales
f) La administración efectiva de la justicia
g) Los derechos de la infancia y la adolescencia
h) La estabilidad macroeconómica y financiera del país
i) La salud pública
No obstante, entiéndase también que datos reservados, son aquellos que afectan la intimidad del Titular o cuyo uso indebido puede generar su discriminación. Del mismo modo, en cumplimiento de la Ley 1581 de 2012 al amparo del principio de confidencialidad se establece que: los datos personales que no tengan la naturaleza de públicos se les debe garantizar la reserva de la información, inclusive después de finalizada la relación con alguna de las labores que comprende el tratamiento de información, pudiendo sólo realizar suministro o comunicación de datos personales cuando ello corresponda al desarrollo de las actividades autorizadas por la Ley y en los términos de la misma.";Estatuto Tributario Distrital;Art. 18. Reserva de las Declaraciones . De conformidad con lo previsto en los artículos 583, 584, 585, 586, 693, 693-1 y 849-4 del Estatuto Tributario Nacional, la información tributaria distrital estará amparada por la más estricta reserva. EUTO TRIBUTARIO NACIONAL;Parcial- Aplica a la Información Tributaria;2/9/2015;2/9/2025
Análisis y Actualización Cuentas Corrientes Contribuyentes;Certificaciones Saldos de Deuda;Certificaciones Saldos de Deuda;Español;Físico - Papel;2/9/2015;"Oficina de Cuentas Corrientes Contribuyentes

Responsable del proceso";Oficina de Cuentas Corrientes;Pública Reservada;"Activo de Información que por su contenido o por su naturaleza íntima o reservada sólo es relevante para el titular, sólo interesa a quienes va dirigida y cuya divulgación no autorizada puede ocasionar perjuicios a determinada entidad, agrupación o persona. Información cuyo acceso podrá ser rechazado o denegado de manera motivada y por escrito en las siguientes circunstancias, siempre que dicho acceso estuviere expresamente prohibido por una norma legal o constitucional:
a) La defensa y seguridad nacional
b) La seguridad pública
c) Las relaciones internacionales
d) La prevención, investigación y persecución de los delitos y las faltas disciplinarias, mientras que no se haga efectiva la medida de aseguramiento o se formule pliego de cargos, según el caso
e) El debido proceso y la igualdad de las partes en los procesos judiciales
f) La administración efectiva de la justicia
g) Los derechos de la infancia y la adolescencia
h) La estabilidad macroeconómica y financiera del país
i) La salud pública
No obstante, entiéndase también que datos reservados, son aquellos que afectan la intimidad del Titular o cuyo uso indebido puede generar su discriminación. Del mismo modo, en cumplimiento de la Ley 1581 de 2012 al amparo del principio de confidencialidad se establece que: los datos personales que no tengan la naturaleza de públicos se les debe garantizar la reserva de la información, inclusive después de finalizada la relación con alguna de las labores que comprende el tratamiento de información, pudiendo sólo realizar suministro o comunicación de datos personales cuando ello corresponda al desarrollo de las actividades autorizadas por la Ley y en los términos de la misma.";Estatuto Tributario Distrital;Art. 18. Reserva de las Declaraciones . De conformidad con lo previsto en los artículos 583, 584, 585, 586, 693, 693-1 y 849-4 del Estatuto Tributario Nacional, la información tributaria distrital estará amparada por la más estricta reserva. EUTO TRIBUTARIO NACIONAL;Parcial- Aplica a la Información Tributaria;2/9/2015;2/9/2025
Análisis y Actualización Cuentas Corrientes Contribuyentes;Reporte de Obligaciones Pendientes;Reporte de Obligaciones Pendientes;Español;Físico - Papel;2/9/2015;"Oficina de Cuentas Corrientes Contribuyentes

Responsable del proceso";Oficina de Cuentas Corrientes;Pública Reservada;"Activo de Información que por su contenido o por su naturaleza íntima o reservada sólo es relevante para el titular, sólo interesa a quienes va dirigida y cuya divulgación no autorizada puede ocasionar perjuicios a determinada entidad, agrupación o persona. Información cuyo acceso podrá ser rechazado o denegado de manera motivada y por escrito en las siguientes circunstancias, siempre que dicho acceso estuviere expresamente prohibido por una norma legal o constitucional:
a) La defensa y seguridad nacional
b) La seguridad pública
c) Las relaciones internacionales
d) La prevención, investigación y persecución de los delitos y las faltas disciplinarias, mientras que no se haga efectiva la medida de aseguramiento o se formule pliego de cargos, según el caso
e) El debido proceso y la igualdad de las partes en los procesos judiciales
f) La administración efectiva de la justicia
g) Los derechos de la infancia y la adolescencia
h) La estabilidad macroeconómica y financiera del país
i) La salud pública
No obstante, entiéndase también que datos reservados, son aquellos que afectan la intimidad del Titular o cuyo uso indebido puede generar su discriminación. Del mismo modo, en cumplimiento de la Ley 1581 de 2012 al amparo del principio de confidencialidad se establece que: los datos personales que no tengan la naturaleza de públicos se les debe garantizar la reserva de la información, inclusive después de finalizada la relación con alguna de las labores que comprende el tratamiento de información, pudiendo sólo realizar suministro o comunicación de datos personales cuando ello corresponda al desarrollo de las actividades autorizadas por la Ley y en los términos de la misma.";Estatuto Tributario Nacional;Art. 584. Examen de la Declaración con Autorización del Declarante. Las declaraciones podrán ser examinadas cuando se encuentren en las oficinas de impuestos, por cualquier persona autorizada para el efecto, mediante escrito presentado personalmente por el contribuyente ante un funcionario administrativo o judicial.;Parcial- Aplica a la Información Tributaria;2/9/2015;2/9/2025
Certificados;Certificados a Entes Externos;Certificados a Entes Externos;Español;Físico - Papel;2/9/2015;"Oficina de Cuentas Corrientes Contribuyentes

Responsable del proceso";Oficina de Cuentas Corrientes;Pública Reservada;"Activo de Información que por su contenido o por su naturaleza íntima o reservada sólo es relevante para el titular, sólo interesa a quienes va dirigida y cuya divulgación no autorizada puede ocasionar perjuicios a determinada entidad, agrupación o persona. Información cuyo acceso podrá ser rechazado o denegado de manera motivada y por escrito en las siguientes circunstancias, siempre que dicho acceso estuviere expresamente prohibido por una norma legal o constitucional:
a) La defensa y seguridad nacional
b) La seguridad pública
c) Las relaciones internacionales
d) La prevención, investigación y persecución de los delitos y las faltas disciplinarias, mientras que no se haga efectiva la medida de aseguramiento o se formule pliego de cargos, según el caso
e) El debido proceso y la igualdad de las partes en los procesos judiciales
f) La administración efectiva de la justicia
g) Los derechos de la infancia y la adolescencia
h) La estabilidad macroeconómica y financiera del país
i) La salud pública
No obstante, entiéndase también que datos reservados, son aquellos que afectan la intimidad del Titular o cuyo uso indebido puede generar su discriminación. Del mismo modo, en cumplimiento de la Ley 1581 de 2012 al amparo del principio de confidencialidad se establece que: los datos personales que no tengan la naturaleza de públicos se les debe garantizar la reserva de la información, inclusive después de finalizada la relación con alguna de las labores que comprende el tratamiento de información, pudiendo sólo realizar suministro o comunicación de datos personales cuando ello corresponda al desarrollo de las actividades autorizadas por la Ley y en los términos de la misma.";Estatuto Tributario Distrital;Art. 18. Reserva de las Declaraciones . De conformidad con lo previsto en los artículos 583, 584, 585, 586, 693, 693-1 y 849-4 del Estatuto Tributario Nacional, la información tributaria distrital estará amparada por la más estricta reserva. EUTO TRIBUTARIO NACIONAL;Parcial- Aplica a la Información Tributaria;2/9/2015;2/9/2025
